sentence,entities
"Can you guide me to 110 ASCOT VALE  RD, Keilor North?","[(24, 38, 'STREET_NAME'), (40, 52, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 218 WATERLOO  CR?,"[(20, 32, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to get here: 624 PL5005.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here at 594 LYNCHS  BRIDGE.,"[(17, 31, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get here: 916 BENJAMIN  STREET.,"[(24, 40, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I’m at 16 FREARSON  WALK.,"[(10, 24, 'STREET_NAME'), (7, 9, 'STREET_NUMBER')]"
I am currently at 83 DOCK  LINK  ROAD.,"[(21, 37, 'STREET_NAME'), (18, 20, 'STREET_NUMBER')]"
I'm on COATES  LANE in Norwood.,"[(7, 19, 'STREET_NAME'), (23, 30, 'SUBURB')]"
"Can you guide me to 512 MONASH  ROAD, Dandenong North?","[(24, 36, 'STREET_NAME'), (38, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am at 841 ASHWORTH  ST in Northcote.,"[(12, 24, 'STREET_NAME'), (28, 37, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I'm on DREWERY  PLACE in Ringwood East.,"[(7, 21, 'STREET_NAME'), (25, 38, 'SUBURB')]"
"Can you guide me to 150 LT  BAY  ST, Endeavour Hills?","[(24, 35, 'STREET_NAME'), (37, 52, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
Where is 139 PL5365 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I’m at 549 MONAHAN  LANE.,"[(11, 24, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
Where is 998 PL5200 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
Where is 536 ENGINEERING  LANE located?,"[(13, 30, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am here in Frankston South.,"[(13, 28, 'SUBURB')]"
I am currently at 506 ST VINCENT  PL  NORTH.,"[(22, 43, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need to get here: 266 CANTERBURY  PL.,"[(24, 38, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need to get here: 869 STRANG  LANE.,"[(24, 36, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here at 666 SM0248.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need directions to BOWEN  STREET in St Helena.,"[(21, 34, 'STREET_NAME'), (38, 47, 'SUBURB')]"
"I'm at 267 UNION  PLACE, Ravenhall.","[(11, 23, 'STREET_NAME'), (25, 34, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
Where is 155 MCINERNEY  LANE located?,"[(13, 28, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to go to Lyndhurst.,"[(16, 25, 'SUBURB')]"
How do I get to 932 THE HUB  ARCADE?,"[(20, 35, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
"I'm at 903 PH8033, Brunswick West.","[(11, 17, 'STREET_NAME'), (19, 33, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I’m at 934 MERCANTILE  PARADE.,"[(11, 29, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 100 COLLETT  STREET.,"[(24, 39, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here in Mont Albert North.,"[(13, 30, 'SUBURB')]"
I am here in Melbourne Airport.,"[(13, 30, 'SUBURB')]"
I am trying to reach MUNRO  ST.,"[(21, 30, 'STREET_NAME')]"
"Currently, I am on WILLS  STREET.","[(19, 32, 'STREET_NAME')]"
I am trying to reach STRANG  LANE.,"[(21, 33, 'STREET_NAME')]"
Where is 259 BAKE HOUSE  LANE located?,"[(13, 29, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to go to Keilor East.,"[(16, 27, 'SUBURB')]"
I am trying to reach CL1183.,"[(21, 27, 'STREET_NAME')]"
I am here at 311 SOUTHGATE  STREET.,"[(17, 34, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am trying to reach PT5223.,"[(21, 27, 'STREET_NAME')]"
"I'm at 332 PL5285, Pascoe Vale South.","[(11, 17, 'STREET_NAME'), (19, 36, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get to 685 MALONEY  LANE.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am trying to reach CL1261.,"[(21, 27, 'STREET_NAME')]"
"I'm at 673 ROGERS  STREET, Melton (suburb).","[(11, 25, 'STREET_NAME'), (27, 42, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 8 TODD  ROAD.,"[(22, 32, 'STREET_NAME'), (20, 21, 'STREET_NUMBER')]"
I am currently at 326 GEM  PLACE.,"[(22, 32, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am currently at 968 WINDSOR  PLACE.,"[(22, 36, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
How do I get to 899 CANNING  STREET?,"[(20, 35, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to get to 721 MENA  PLACE (PRIV).,"[(21, 39, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am trying to reach PT5377.,"[(21, 27, 'STREET_NAME')]"
I need directions to LINCOLN  PLACE in St Kilda East.,"[(21, 35, 'STREET_NAME'), (39, 52, 'SUBURB')]"
"Currently, I am on PL5088.","[(19, 25, 'STREET_NAME')]"
Where is 569 PL5196 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am here in Alphington.,"[(13, 23, 'SUBURB')]"
"I'm at 380 CL0524, Greenvale Lakes.","[(11, 17, 'STREET_NAME'), (19, 34, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"Currently, I am on TANKARD  STREET.","[(19, 34, 'STREET_NAME')]"
Where is 425 NOMAD  STREET located?,"[(13, 26, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
Where is 710 CL1066 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am currently at 995 TEMPERANCE HALL  LANE.,"[(22, 43, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here at 512 COODE  ROAD.,"[(17, 28, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get to 350 LITTLE CARDIGAN  STREET.,"[(21, 44, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Can you guide me to 101 CHESTER  LANE, West Melbourne?","[(24, 37, 'STREET_NAME'), (39, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get to 871 CATALINA  PLACE.,"[(21, 36, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to go to Dingley Village.,"[(16, 31, 'SUBURB')]"
How do I get to 632 PARK  RD?,"[(20, 28, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
"Currently, I am on SOMERSET  PLACE.","[(19, 34, 'STREET_NAME')]"
I am at 13 MOTON  PLACE in Docklands.,"[(11, 23, 'STREET_NAME'), (27, 36, 'SUBURB'), (8, 10, 'STREET_NUMBER')]"
I'm heading towards 123 YARRA  ST in Fairfield.,"[(24, 33, 'STREET_NAME'), (37, 46, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am currently at 544 RAILWAY  PLACE.,"[(22, 36, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am trying to reach ALEXANDRA  AVENUE.,"[(21, 38, 'STREET_NAME')]"
I need to go to Greenvale.,"[(16, 25, 'SUBURB')]"
I am here in West Melbourne.,"[(13, 27, 'SUBURB')]"
I need to go to Hurstbridge.,"[(16, 27, 'SUBURB')]"
"Currently, I am on PL5383.","[(19, 25, 'STREET_NAME')]"
I'm on DOCKING  LANE in Prahran.,"[(7, 20, 'STREET_NAME'), (24, 31, 'SUBURB')]"
I'm heading towards 619 CL0313 in Greenvale.,"[(24, 30, 'STREET_NAME'), (34, 43, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am currently at 660 BELLS  LA.,"[(22, 31, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I'm on PICKLES  ST in Ringwood.,"[(7, 18, 'STREET_NAME'), (22, 30, 'SUBURB')]"
I am currently at 280 CL197.,"[(22, 27, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am trying to reach WELLINGTON  CRESCENT.,"[(21, 41, 'STREET_NAME')]"
Where is 757 ARNOLD  ST located?,"[(13, 23, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to get here: 423 LOUDEN  PLACE.,"[(24, 37, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 99 BELMONT  ROAD in Ashburton.,"[(23, 36, 'STREET_NAME'), (40, 49, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
I am here at 800 THE  STRAND.,"[(17, 28, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am here at 558 HOLSTEN  LANE SOUTH.,"[(17, 36, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I'm on SUTTON  STREET in Glen Huntly.,"[(7, 21, 'STREET_NAME'), (25, 36, 'SUBURB')]"
How do I get to 610 FRANKLIN  PLACE?,"[(20, 35, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am here in Kingsville.,"[(13, 23, 'SUBURB')]"
I am here at 462 SHIELS  LANE.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am trying to reach HORNSBY  LANE.,"[(21, 34, 'STREET_NAME')]"
I need directions to CREMORNE  ST in Sandringham.,"[(21, 33, 'STREET_NAME'), (37, 48, 'SUBURB')]"
I’m at 853 DRAKES  LANE.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here at 505 DOLLMAN  ST.,"[(17, 28, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am here at 916 CL1714.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to go to Altona.,"[(16, 22, 'SUBURB')]"
"I'm at 636 COMMISSIONERS  LANE, Box Hill North.","[(11, 30, 'STREET_NAME'), (32, 46, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to go to Williamstown North.,"[(16, 34, 'SUBURB')]"
I need directions to REBECCA  WALK in Braeside.,"[(21, 34, 'STREET_NAME'), (38, 46, 'SUBURB')]"
I need to get to 362 LONIE  STREET.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Currently, I am on BICKFORD  LANE.","[(19, 33, 'STREET_NAME')]"
How do I get to 297 MANSION HOUSE  LANE?,"[(20, 39, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
How do I get to 538 TANKARD  STREET?,"[(20, 35, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
"Can you guide me to 381 PL5035, Vermont South?","[(24, 30, 'STREET_NAME'), (32, 45, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm on CL1656 in Doncaster East.,"[(7, 13, 'STREET_NAME'), (17, 31, 'SUBURB')]"
I am at 119 ASCOT VALE  RD in Abbotsford.,"[(12, 26, 'STREET_NAME'), (30, 40, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need to get to 514 PL5101.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am currently at 612 LA TROBE  PLACE.,"[(22, 37, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need to get here: 298 RETREAT  PL.,"[(24, 35, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"Can you guide me to 940 CL1285, Cranbourne South?","[(24, 30, 'STREET_NAME'), (32, 48, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am currently at 996 CL0460.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"Currently, I am on ROWENA  PDE.","[(19, 30, 'STREET_NAME')]"
I am trying to reach MCLEAN  ALLEY.,"[(21, 34, 'STREET_NAME')]"
I'm on MOLESWORTH  STREET in Fitzroy.,"[(7, 25, 'STREET_NAME'), (29, 36, 'SUBURB')]"
How do I get to 636 BEARD  PLACE?,"[(20, 32, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
Where is 287 HAMPSON  LANE located?,"[(13, 26, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am currently at 886 MUNSTER  TERRACE.,"[(22, 38, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am currently at 516 PALMYRA  WAY.,"[(22, 34, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"I'm at 624 FREEWAY   ENTRANCE   RAMP, Upper Ferntree Gully.","[(11, 36, 'STREET_NAME'), (38, 58, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
How do I get to 347 MIDTOWN  PLAZA?,"[(20, 34, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to go to Keilor Park.,"[(16, 27, 'SUBURB')]"
I need to get to 450 LOUDEN  PLACE.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm heading towards 407 STATION  STREET in The Basin.,"[(24, 39, 'STREET_NAME'), (43, 52, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here at 827 ALBERT  ST.,"[(17, 27, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to go to Wonga Park.,"[(16, 26, 'SUBURB')]"
"I'm at 206 FOOTSCRAY  ROAD, Moonee Ponds.","[(11, 26, 'STREET_NAME'), (28, 40, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get to 959 CUSTOM  HOUSE  LANE.,"[(21, 40, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to go to Seville.,"[(16, 23, 'SUBURB')]"
I am here in Brighton.,"[(13, 21, 'SUBURB')]"
I'm on CL1316 in Docklands.,"[(7, 13, 'STREET_NAME'), (17, 26, 'SUBURB')]"
I am here at 586 CREMORNE  ST.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Can you guide me to 882 GROSVENOR  PLACE, Chirnside Park?","[(24, 40, 'STREET_NAME'), (42, 56, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 419 JOLIMONT  TERRACE?,"[(20, 37, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to go to Thomastown.,"[(16, 26, 'SUBURB')]"
I am here in Kew.,"[(13, 16, 'SUBURB')]"
I'm on AIRLIE  BANK  LANE in Thornbury.,"[(7, 25, 'STREET_NAME'), (29, 38, 'SUBURB')]"
I need to get here: 838 HALL  STREET.,"[(24, 36, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here at 39 PH8022.,"[(16, 22, 'STREET_NAME'), (13, 15, 'STREET_NUMBER')]"
I need to get to 758 BALSTON  STREET.,"[(21, 36, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to get here: 885 AGNES  STREET.,"[(24, 37, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need to get here: 805 AUGHTIE  DR.,"[(24, 35, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I’m at 330 LYTTON  STREET.,"[(11, 25, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here at 526 CANADA  LANE.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am currently at 846 WATERFRONT  WAY.,"[(22, 37, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here in Pascoe Vale.,"[(13, 24, 'SUBURB')]"
I am at 71 LINCOLN  PLACE in Cairnlea.,"[(11, 25, 'STREET_NAME'), (29, 37, 'SUBURB'), (8, 10, 'STREET_NUMBER')]"
I'm on PL5082 in Brooklyn.,"[(7, 13, 'STREET_NAME'), (17, 25, 'SUBURB')]"
I'm heading towards 130 SILVER  TOP  TERRACE in Kealba.,"[(24, 44, 'STREET_NAME'), (48, 54, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
Where is 799 PL5293 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am currently at 503 LINLITHGOW  AVENUE.,"[(22, 40, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I'm on PL5159 in Parkdale.,"[(7, 13, 'STREET_NAME'), (17, 25, 'SUBURB')]"
I'm on HOFF  BOULEVARD in Croydon.,"[(7, 22, 'STREET_NAME'), (26, 33, 'SUBURB')]"
I am trying to reach CL1199.,"[(21, 27, 'STREET_NAME')]"
I'm on BRIDPORT ST  WEST in Keilor.,"[(7, 24, 'STREET_NAME'), (28, 34, 'SUBURB')]"
I'm heading towards 270 STEPHENSON  ST in Sunshine West.,"[(24, 38, 'STREET_NAME'), (42, 55, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here in Clayton South.,"[(13, 26, 'SUBURB')]"
I am trying to reach WHARF  ROAD.,"[(21, 32, 'STREET_NAME')]"
I am here in Coolaroo.,"[(13, 21, 'SUBURB')]"
"Can you guide me to 162 LAMBETH  STREET, Mount Dandenong?","[(24, 39, 'STREET_NAME'), (41, 56, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get here: 342 NEWTON  STREET.,"[(24, 38, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here in Williamstown North.,"[(13, 31, 'SUBURB')]"
I'm heading towards 508 LEE  ST in South Kingsville.,"[(24, 31, 'STREET_NAME'), (35, 51, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to go to Tullamarine.,"[(16, 27, 'SUBURB')]"
"Currently, I am on DURHAM  ST.","[(19, 29, 'STREET_NAME')]"
I need directions to PH8040 in South Morang.,"[(21, 27, 'STREET_NAME'), (31, 43, 'SUBURB')]"
I am currently at 976 VICTORIA  STREET.,"[(22, 38, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"Currently, I am on GATEHOUSE  STREET.","[(19, 36, 'STREET_NAME')]"
"I'm at 398 PL5340, Wantirna South.","[(11, 17, 'STREET_NAME'), (19, 33, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get to 901 CRUIKSHANK  ST.,"[(21, 35, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I’m at 380 CL1325.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here in Essendon.,"[(13, 21, 'SUBURB')]"
I'm heading towards 346 PL5156 in Essendon West.,"[(24, 30, 'STREET_NAME'), (34, 47, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need directions to FINLAY  ST in Keilor Park.,"[(21, 31, 'STREET_NAME'), (35, 46, 'SUBURB')]"
Where is 164 DRUMMOND  ST located?,"[(13, 25, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to get here: 415 CHURCH  ST.,"[(24, 34, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need to go to Eltham.,"[(16, 22, 'SUBURB')]"
I'm heading towards 676 PT5112 in Arthurs Seat.,"[(24, 30, 'STREET_NAME'), (34, 46, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm on FLINDERS  LANE in Springvale.,"[(7, 21, 'STREET_NAME'), (25, 35, 'SUBURB')]"
I am here at 768 TIVOLI  PLACE.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
Where is 195 MCNAMARA  MEWS located?,"[(13, 27, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am trying to reach LT  BAY  ST.,"[(21, 32, 'STREET_NAME')]"
I am trying to reach LYTTON  STREET.,"[(21, 35, 'STREET_NAME')]"
"Currently, I am on LITTLE  SMITH  STREET.","[(19, 40, 'STREET_NAME')]"
I’m at 380 PL5186.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am currently at 775 CADE  WAY.,"[(22, 31, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here at 131 ST ANDREWS  PLACE.,"[(17, 34, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
Where is 628 CL1653 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
Where is 990 PH8034 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to get here: 292 WILLIAM  STREET.,"[(24, 39, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need directions to NICHOLSON  STREET in Belgrave Heights.,"[(21, 38, 'STREET_NAME'), (42, 58, 'SUBURB')]"
I am here at 701 BEDFORD  STREET.,"[(17, 32, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need directions to CL1077 in Box Hill North.,"[(21, 27, 'STREET_NAME'), (31, 45, 'SUBURB')]"
I am currently at 939 PL5329.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here at 582 POPLAR  ROAD.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am currently at 646 CL1091.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am at 605 HERBERT  ST in Greensborough.,"[(12, 23, 'STREET_NAME'), (27, 40, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I’m at 564 THROSSELL  LANE.,"[(11, 26, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am trying to reach QUEENS  BRIDGE  STREET.,"[(21, 43, 'STREET_NAME')]"
I need to go to Lower Plenty.,"[(16, 28, 'SUBURB')]"
I need directions to SHEOAK  WAY in Canterbury.,"[(21, 32, 'STREET_NAME'), (36, 46, 'SUBURB')]"
I am currently at 560 PT5202.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"Can you guide me to 145 SPENCER  STREET  BRIDGE, Beaconsfield?","[(24, 47, 'STREET_NAME'), (49, 61, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get to 268 CAPEL  STREET.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I’m at 247 BEATONS  LANE.,"[(11, 24, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am currently at 36 CL1487.,"[(21, 27, 'STREET_NAME'), (18, 20, 'STREET_NUMBER')]"
I am here in Box Hill South.,"[(13, 27, 'SUBURB')]"
"Currently, I am on SHAKESPEARE  ST.","[(19, 34, 'STREET_NAME')]"
I'm heading towards 828 VICTORIA  STREET in Burwood East.,"[(24, 40, 'STREET_NAME'), (44, 56, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get to 221 SM0477.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Currently, I am on BOWEN  LA.","[(19, 28, 'STREET_NAME')]"
I need directions to ENTERPRIZE  WAY in Seaford.,"[(21, 36, 'STREET_NAME'), (40, 47, 'SUBURB')]"
I need to go to Newport.,"[(16, 23, 'SUBURB')]"
How do I get to 753 FISKEN  WALK?,"[(20, 32, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
"Can you guide me to 701 BEACONFIELD  LA, Sunshine North?","[(24, 39, 'STREET_NAME'), (41, 55, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"I'm at 714 MACKINNON  PLACE, Princes Hill.","[(11, 27, 'STREET_NAME'), (29, 41, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 774 ANDERSONS  LANE, Lyndhurst?","[(24, 39, 'STREET_NAME'), (41, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am currently at 43 ELECTRIC  PLACE.,"[(21, 36, 'STREET_NAME'), (18, 20, 'STREET_NUMBER')]"
Where is 168 GITTUS  ST located?,"[(13, 23, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"Can you guide me to 115 PL5209, Upfield?","[(24, 30, 'STREET_NAME'), (32, 39, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on FLEMING  PLACE.","[(19, 33, 'STREET_NAME')]"
I'm heading towards 414 BAYSWATER  ROAD in Surrey Hills.,"[(24, 39, 'STREET_NAME'), (43, 55, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"I'm at 270 BARLOW  ST, Werribee.","[(11, 21, 'STREET_NAME'), (23, 31, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am currently at 970 MERINO  MEWS.,"[(22, 34, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need to get here: 968 JINDIVIK  WAY.,"[(24, 37, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"I'm at 698 MACFARLAN  PL, Keysborough.","[(11, 24, 'STREET_NAME'), (26, 37, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am here in Doncaster.,"[(13, 22, 'SUBURB')]"
I am here in Bennettswood.,"[(13, 25, 'SUBURB')]"
I am currently at 398 GOLDSBROUGH LANE.,"[(22, 38, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here in Warrandyte South.,"[(13, 29, 'SUBURB')]"
"Can you guide me to 694 CL1557, Lysterfield?","[(24, 30, 'STREET_NAME'), (32, 43, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 315 CL1101?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to get here: 394 SWINGING  BASIN  LANE.,"[(24, 45, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here in Yarrambat.,"[(13, 22, 'SUBURB')]"
I am trying to reach ST JOHNS  LANE.,"[(21, 35, 'STREET_NAME')]"
I am here in Dromana.,"[(13, 20, 'SUBURB')]"
I need to go to Moonee Ponds.,"[(16, 28, 'SUBURB')]"
"Currently, I am on SUTTON  PLACE.","[(19, 32, 'STREET_NAME')]"
I’m at 350 BELL  ST.,"[(11, 19, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
How do I get to 908 W  CT?,"[(20, 25, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am at 204 JONES  PLACE in Truganina.,"[(12, 24, 'STREET_NAME'), (28, 37, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am currently at 603 MULGRAVE  STREET.,"[(22, 38, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am trying to reach CL0507.,"[(21, 27, 'STREET_NAME')]"
"Currently, I am on DYNON  ROAD.","[(19, 30, 'STREET_NAME')]"
How do I get to 327 SPENCER  ROAD?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I'm heading towards 390 BRENS  DRIVE in Werribee.,"[(24, 36, 'STREET_NAME'), (40, 48, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 91 HANOVER  ST?,"[(19, 30, 'STREET_NAME'), (16, 18, 'STREET_NUMBER')]"
I am currently at 779 CL0524.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"Can you guide me to 116 CL196, Dandenong North?","[(24, 29, 'STREET_NAME'), (31, 46, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
Where is 540 RANDALL  PLACE located?,"[(13, 27, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need directions to PL5293 in Niddrie.,"[(21, 27, 'STREET_NAME'), (31, 38, 'SUBURB')]"
